ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
01,Alabama,AL,01065,Hale,01065,"Hale County, Alabama",643.98981734881,14754,0,7847,41,5490,292,5426,764,528,184,1480,286,1938,385,1200,262,2850,0,3423,0,3575,478,317,128,38,86,9086,244,82,61,3266,296,198,96,485,145,199,102,37.4,5.3,9.1,3.1,27.0,5.0,19.3,3.8,8.3,1.8,19.3,0.0,23.2,0.0,24.6,3.3,5.8,2.3,0.3,0.6,61.6,1.7,1.0,0.8,41.6,3.8,3.6,1.7,8.8,2.6,1.3,0.7,0.8636,0.8485,0.8485,0.8485,0.197,3.6061,0.8636,0.5303,0.7879,0.8939,0.2879,0.2576,2.7576,0.7576,0.8636,0.8636,0.8636,0.2424,0.9848,0.9545,0.803,0.2879,3.2726,0.8939,10.4999,0.9394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,11506,4214,580,8722,140,10,11,28,37,0,19,0,19,311,192,15,15,29.0,0.2,59.1,0.9,0.1,0.1,0.2,0.2,0.0,0.2,0.0,0.2,2.1,1.3,0.1,0.2
01,Alabama,AL,01067,Henry,01067,"Henry County, Alabama",561.762827695484,17123,0,9203,42,6556,285,4305,574,401,126,1271,205,2385,297,1316,257,3859,34,3555,20,3110,340,316,101,33,79,5264,143,103,72,2387,280,47,33,515,123,330,89,25.9,3.4,5.5,1.7,19.4,3.0,19.5,2.4,7.8,1.5,22.5,0.2,20.8,0.1,18.5,2.0,4.8,1.5,0.2,0.5,30.7,0.8,1.1,0.8,25.9,3.0,0.7,0.5,7.9,1.9,1.9,0.5,0.2424,0.4545,0.2727,0.8636,0.0909,1.9241,0.2879,0.9394,0.1818,0.5,0.0909,0.197,1.9091,0.1364,0.5,0.5,0.5,0.2879,0.697,0.0758,0.7273,0.6061,2.3941,0.5303,6.7273,0.2727,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,14026,2865,462,4534,88,453,0,73,42,34,34,36,55,134,80,0,0,17.1,0.1,26.5,0.5,2.6,0.0,0.4,0.2,0.2,0.2,0.2,0.3,0.8,0.5,0.0,0.2
01,Alabama,AL,01069,Houston,01069,"Houston County, Alabama",579.825681962378,105319,0,47798,140,39784,366,29466,1139,2646,236,9702,451,9564,492,11915,671,18669,14,24310,0,16846,574,3101,257,405,122,35979,385,2158,189,5871,336,560,100,2470,206,1052,264,28.3,1.1,5.6,0.5,24.4,1.1,13.1,0.7,11.4,0.6,17.7,0.1,23.1,0.0,16.2,0.5,7.8,0.6,0.4,0.1,34.2,0.4,4.5,0.4,12.3,0.7,1.4,0.3,6.2,0.5,1.0,0.3,0.4697,0.4848,0.7879,0.1818,0.7879,2.7121,0.6061,0.3333,0.7727,0.2727,0.6818,0.3182,2.3787,0.4242,0.5606,0.5606,0.5606,0.8182,0.1818,0.4545,0.5152,0.0909,2.0606,0.2727,7.712,0.4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112258,18376,1049,28542,198,3551,0,984,90,283,62,4,6,2273,228,342,342,17.6,0.0,27.1,0.2,3.4,0.0,0.9,0.1,0.3,0.1,0.0,0.1,2.2,0.2,0.3,0.2
01,Alabama,AL,01071,Jackson,01071,"Jackson County, Alabama",1078.014024998708,51765,0,25135,83,20367,519,15669,1276,1082,218,4112,475,6136,505,5178,624,10356,73,10865,17,10280,708,1130,243,235,166,5567,306,361,147,5388,505,501,153,758,175,641,178,30.6,2.5,5.2,1.0,20.2,2.3,16.5,1.4,10.1,1.2,20.0,0.1,21.0,0.0,20.0,1.4,5.5,1.2,0.5,0.3,10.8,0.6,1.4,0.6,21.4,2.0,2.5,0.7,3.7,0.8,1.2,0.3,0.5909,0.3788,0.3788,0.4697,0.5455,2.3637,0.4242,0.697,0.2727,0.6061,0.197,0.4091,2.1819,0.303,0.0758,0.0758,0.0758,0.4091,0.4394,0.8485,0.0909,0.2273,2.0152,0.2424,6.6366,0.2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46636,9316,951,1883,118,1541,0,220,56,513,178,35,14,1349,209,26,26,18.2,0.1,3.6,0.2,3.0,0.0,0.4,0.1,1.0,0.3,0.1,0.1,2.6,0.4,0.1,0.1
01,Alabama,AL,01073,Jefferson,01073,"Jefferson County, Alabama",1111.530569730484,658615,265,308825,362,263801,1463,160580,5103,20151,1452,74217,2309,42690,1757,58699,2223,104327,40,150353,144,100582,2962,21042,1112,7013,837,331997,2012,43082,1709,8567,668,3696,555,20500,1219,15616,775,24.9,0.8,6.3,0.4,28.1,0.9,9.5,0.4,9.0,0.3,15.8,0.1,22.8,0.0,15.4,0.5,8.0,0.4,1.1,0.1,50.4,0.3,14.0,0.6,2.8,0.2,1.4,0.2,7.8,0.5,2.4,0.1,0.1818,0.5909,0.8939,0.0303,0.303,1.9999,0.3333,0.1515,0.7273,0.197,0.7273,0.7424,2.5455,0.5303,0.803,0.803,0.803,0.9697,0.0,0.4545,0.697,0.697,2.8182,0.7424,8.1666,0.5909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,722447,84328,3952,281862,1274,25757,3,10330,504,710,220,187,42,11625,1379,1526,1526,13.1,0.0,42.8,0.2,3.9,0.1,1.6,0.1,0.1,0.1,0.0,0.1,1.8,0.2,0.2,0.1
01,Alabama,AL,01075,Lamar,01075,"Lamar County, Alabama",604.846035581768,13854,0,7410,32,5631,266,3655,525,284,121,970,201,1672,274,761,191,2987,66,3041,52,3288,396,302,112,15,73,1943,138,232,133,1511,326,107,91,355,141,189,62,26.8,3.8,5.1,2.1,17.2,3.5,17.0,2.8,5.6,1.4,21.6,0.5,22.0,0.4,24.0,2.9,5.4,2.0,0.1,0.6,14.0,1.0,3.1,1.8,20.4,4.4,1.9,1.6,6.3,2.5,1.4,0.4,0.303,0.3485,0.0758,0.5303,0.0,1.2576,0.1212,0.8939,0.5303,0.8636,0.1818,0.0909,2.5605,0.5606,0.1212,0.1212,0.1212,0.6667,0.4091,0.6515,0.5303,0.3485,2.6061,0.6515,6.5454,0.2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11617,3501,600,1525,97,240,0,21,27,12,16,0,19,134,90,11,11,25.6,0.1,11.0,0.7,1.7,0.0,0.2,0.2,0.1,0.1,0.0,0.3,1.0,0.6,0.1,0.1
01,Alabama,AL,01077,Lauderdale,01077,"Lauderdale County, Alabama",668.013865259258,92870,0,45272,166,38513,524,22446,1556,2018,400,8670,764,7296,717,8251,790,18553,108,18320,126,13210,911,2174,362,507,210,14786,665,3143,496,3762,459,366,150,2553,402,2097,375,24.7,1.7,4.7,0.9,22.5,2.0,11.4,1.1,9.0,0.9,20.0,0.1,19.7,0.1,14.4,1.0,5.6,0.9,0.6,0.2,15.9,0.7,6.9,1.1,8.3,1.0,1.0,0.4,6.6,1.0,2.3,0.4,0.1667,0.2576,0.6364,0.1061,0.303,1.4698,0.1515,0.697,0.0758,0.1515,0.2121,0.5,1.6364,0.0303,0.1667,0.1667,0.1667,0.8636,0.0758,0.1515,0.5606,0.6818,2.3333,0.4091,5.6062,0.0758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84859,16664,1693,9289,246,2562,0,581,90,338,170,64,48,1857,580,95,95,18.4,0.1,10.0,0.3,2.8,0.0,0.6,0.1,0.4,0.2,0.1,0.1,2.0,0.6,0.1,0.1
01,Alabama,AL,01079,Lawrence,01079,"Lawrence County, Alabama",690.684102491496,32969,0,15333,78,12551,349,9143,868,508,147,2459,351,4497,509,3023,489,5937,101,7137,0,7495,605,570,159,128,136,7745,538,117,56,3957,393,140,66,697,166,249,155,28.0,2.7,3.8,1.1,19.6,2.7,19.2,2.2,9.2,1.5,18.0,0.3,21.6,0.0,22.9,1.9,4.5,1.3,0.4,0.4,23.5,1.6,0.8,0.4,25.8,2.5,1.1,0.5,5.6,1.3,0.8,0.5,0.4091,0.1061,0.3182,0.8333,0.3636,2.0303,0.3636,0.3788,0.4394,0.8182,0.0606,0.3182,2.0152,0.2273,0.3333,0.3333,0.3333,0.1364,0.6818,0.2121,0.3939,0.0303,1.4545,0.0303,5.8333,0.1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23115,9200,1017,3516,216,745,0,40,50,1967,307,22,34,1455,380,0,0,28.1,0.1,10.7,0.7,2.3,0.0,0.1,0.2,6.0,0.9,0.1,0.1,4.4,1.2,0.0,0.1
01,Alabama,AL,01081,Lee,01081,"Lee County, Alabama",607.542339516364,163461,0,70256,204,60731,889,44372,2477,3707,605,16268,1065,9569,1064,12682,1553,19710,171,34530,95,21151,1563,3925,598,1973,389,53754,979,9197,890,11401,810,2169,440,2671,471,5947,490,28.2,1.6,4.7,0.7,26.8,1.7,9.6,1.1,7.8,1.0,12.1,0.1,21.1,0.1,13.0,1.0,6.5,1.0,1.3,0.3,32.9,0.6,13.1,1.3,16.2,1.2,3.6,0.7,4.4,0.8,3.6,0.3,0.4394,0.2576,0.8333,0.0606,0.0909,1.6818,0.197,0.0,0.303,0.0455,0.4091,0.8182,1.5758,0.0,0.5455,0.5455,0.5455,0.9545,0.303,0.9545,0.1818,0.803,3.1968,0.8636,6.9999,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,170140,19920,1997,36529,561,6093,0,6981,184,334,150,0,29,3329,640,488,488,12.6,0.0,22.3,0.3,3.7,0.0,4.3,0.1,0.2,0.1,0.0,0.1,2.0,0.4,0.3,0.3
01,Alabama,AL,01083,Limestone,01083,"Limestone County, Alabama",559.962539089228,96921,0,36278,121,32725,538,19279,1641,2270,426,5618,582,10012,981,8091,1094,14833,345,21811,0,14566,1101,1861,353,1029,461,23422,747,1246,230,3873,515,635,227,1298,438,2980,274,20.6,1.8,5.1,1.0,17.2,1.8,14.7,1.4,8.6,1.2,15.3,0.4,22.5,0.0,15.5,1.2,5.7,1.1,1.1,0.5,24.2,0.8,3.4,0.6,10.7,1.4,1.9,0.7,4.0,1.3,3.1,0.3,0.0758,0.3485,0.0758,0.2879,0.2727,1.0607,0.0606,0.0758,0.6818,0.2121,0.2273,0.7424,1.9394,0.1515,0.3636,0.3636,0.3636,0.7273,0.1364,0.6515,0.1212,0.7727,2.4091,0.5455,5.7728,0.1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86684,12068,1406,13020,308,5840,0,1398,242,657,134,19,25,2448,619,40,40,12.8,0.0,13.4,0.3,6.0,0.0,1.4,0.2,0.7,0.1,0.0,0.1,2.5,0.6,0.0,0.1
01,Alabama,AL,01085,Lowndes,01085,"Lowndes County, Alabama",716.084774689028,9936,0,5251,60,4213,229,4067,447,419,134,1302,196,1227,174,817,183,1882,0,2217,0,2683,269,624,147,3,66,7486,73,0,24,2005,243,66,40,465,115,109,135,41.5,4.5,10.5,3.2,30.9,4.3,17.8,2.5,8.3,1.8,18.9,0.0,22.3,0.0,27.3,2.7,14.8,3.4,0.0,0.7,75.3,0.7,0.0,0.5,38.2,4.6,1.6,0.9,11.0,2.6,1.1,1.4,0.9242,0.8939,0.9848,0.6515,0.197,3.6514,0.8788,0.4697,0.5758,1.0,1.0,0.0,3.0455,0.8939,0.9545,0.9545,0.9545,0.0,0.9545,0.5606,0.9091,0.1667,2.5909,0.6364,10.2423,0.9091,1,0,1,0,0,2,0,0,1,1,0,2,1,1,0,1,0,1,0,2,7,8610,4120,435,7417,46,40,34,0,17,12,22,0,17,17,29,0,0,41.9,0.6,74.6,0.5,0.4,0.3,0.0,0.4,0.1,0.2,0.0,0.4,0.2,0.3,0.0,0.4
